+-spread,standard deviation,,,source = https://www.boydsbets.com/ats-margin-standard-deviations-by-point-spread/
0,11.43,,,
-1,11.14,,,
-1.5,11.82,,,
-2,11.53,,,
-2.5,11.37,,,
-3,11.89,,,
-3.5,11.57,,,
-4,11.71,,,
-4.5,11.9,,,
-5,11.67,,,
-5.5,11.71,,,
-6,11.43,,,
-6.5,11.49,,,
-7,11.25,,,
-7.5,11,,,
-8,10.84,,,
-8.5,11.43,,,
-9,11.5,,,
-9.5,11.38,,,
-10,11.12,,,
-10.5,10.31,,,
-11,11.18,,,
-11.5,10.88,,,
-12,10.63,,,
-12.5,11.05,,,
-13,10.79,,,
-13.5,9.2,,,
-14,10.26,,,
-14.5,11.18,,,
-15,12.03,,,
-15.5,10.88,,,
,11.21193548,,,
